caseTitle,state,county,year,practiceArea,injuryType,resultType,amount,description,source
,Illinois,,2026,Other,Other,settlement,20648337,$20.6 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Other,Wrongful Death,settlement,20500000,$20.5 million settlement in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,New York,,2026,Car Accident,Other,verdict,20181484,"$20,181,484 verdict for a man injured in a head-on collision caused by icy road conditions in Westchester County.",News
,Illinois,,2026,Other,Other,settlement,19500000,$19.5 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
"Crawley v. Uber Technologies, Inc.",New Jersey,Bergen,2026,Car Accident,Multiple Injuries,verdict,19000000,Bergen County jury verdict against Uber for career-ending injuries suffered by a passenger when the rideshare vehicle left the road in Glen Rock and struck a utility pole; jury found Uber vicariously liable for the driver.,Daily Voice news coverage of the Bergen County verdict
,Illinois,,2026,Truck Accident,Other,verdict,17900000,$17.9 million jury verdict in a truck accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Other,Other,settlement,17675000,$17.7 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Bus Accident,Wrongful Death,verdict,17650000,"Read more Nursing Home Neglect $17.65 Million We represented the family of “Mary,” a 52-year-old woman with multiple sclerosis who entered a nursing home for full-time care. Tragically, over the next several years, Mary endured severe and ongoing neglect. She was frequently left sitting in her own w.",News
,Illinois,,2026,Medical Malpractice,Wrongful Death,verdict,17000000,Verdict for the wrongful death of an infant due to medical malpractice.,News
Turner v. Women’s Hospital of Baton,Louisiana,East Baton Rouge,2026,Medical Malpractice,Spinal Cord Injury,verdict,17000000,"Louisiana jury verdict of $17,000,000 in East Baton Rouge Parish (2026).",Louisiana Jury Verdict Reporter
,South Carolina,,2026,Truck Accident,Wrongful Death,settlement,16000000,"$16M settlement; DOT worker killed by detached tractor trailer wheel assembly. Action: Wrongful death Injuries alleged: Death Case name: Withheld Amount: $16 million Date: March 10, 2026 Attorneys: David Lail and Brandt Horton of Yarborough Applegate in Charleston (for the",South Carolina Lawyers Weekly
,Illinois,,2026,Other,Other,settlement,15750000,$15.8 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Other,Other,verdict,15228068,$15.2 million jury verdict in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Medical Malpractice,Traumatic Brain Injury,verdict,15000000,"Read more Child Medical Malpractice $15 Million A 3 year-old boy was seen by two medical providers with a high fever yet he was discharged without any proper care and sent home. Two days later, the child fell into a coma from fluid buildup on his brain, suffered a stroke and was diagnosed with menin.",News
,New York,,2026,Other,Wrongful Death,settlement,15000000,"$15,000,000 settlement in a wrongful death case for the surviving wife and five children of an HVAC technician who tragically died in an on-the-job accident.",News
,South Carolina,,2026,Motorcycle Accident,Wrongful Death,settlement,15000000,"Family settles after motorcyclist dies in crash. Action: Motor vehicle negligence Injuries alleged: Death Case name: Withheld Amount: $15 million Date: 2026 Attorneys: David Yarborough Jr., Alexandra Heaton, and Brandt Horton of Yarborough Applegate in Charleston and",South Carolina Lawyers Weekly
,New Jersey,,2026,Other,Other,verdict,14596000,$14.6 million jury verdict in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Other,Other,settlement,14500000,$14.5 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Medical Malpractice,Other,verdict,14000000,Medical Malpractice jury verdict of $14 million in Illinois.,News
,New York,,2026,Truck Accident,Other,settlement,14000000,"$14,000,000 settlement in a Nassau County case for a 23-year-old man who suffered serious injuries after being hit by a truck while riding his motorcycle.",News
,New Jersey,,2026,Medical Malpractice,Other,verdict,14000000,Trial Verdict; Medical Malpractice / Wrongful Birth.,News
,New York,,2026,Car Accident,Traumatic Brain Injury,settlement,13500000,"$13,500,000 settlement for a woman who sustained Traumatic Brain Injury and multiple fractures after she was hit by a car while she was walking home at night. This is the highest reported personal injury settlement in Suffolk County.",News
,Illinois,,2026,Medical Malpractice,Other,settlement,13000000,Settlement for birth injury caused by medical negligence during childbirth.,News
,Illinois,,2026,Workplace Injury,Other,settlement,12560000,$12.6 million settlement in a workplace injury case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Truck Accident,Wrongful Death,settlement,12500000,"$27,500,000 verdict for a pedestrian struck by a bus. The pedestrian suffered the loss of her leg. This is the largest verdict for such an injury in New York State history.",News
,Illinois,,2026,Other,Wrongful Death,settlement,12250000,Settlement for fatal railroad crossing accident involving negligence by railway operator.,News
,Illinois,,2026,Truck Accident,Other,verdict,12208791,$12.2 million jury verdict in a truck accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Other,Other,settlement,12043500,$12.0 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Truck Accident,Wrongful Death,settlement,12000000,"Motor Vehicle Accidents $12 Million Our client’s wife was fatally struck by an 18-wheeler after her vehicle stalled on the road. While she was stopped with her hazard lights on, the truck driver failed to pay attention and never braked before colliding and killing our client’s wife. Our le.",News
,New York,,2026,Other,Other,settlement,12000000,"$12,000,000 settlement for a victim who suffered serious neurologic and orthopedic injuries after an accident on the job in Manhattan.",News
,New York,,2026,Other,Other,settlement,11638000,$11.6 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Workplace Injury,Other,settlement,11500000,"$11,500,000 settlement for a 35-year-old union construction worker who suffered injuries, including complex regional pain syndrome in his wrist, in a defective saw accident.",News
,Illinois,,2026,Truck Accident,Wrongful Death,settlement,11500000,Settlement for fatal truck accident and severe injuries to mother and toddler after insurer’s bad faith negotiations.,News
,Illinois,,2026,Other,Wrongful Death,verdict,11250000,$11.3 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,New Jersey,,2026,Car Accident,Other,settlement,11175000,On a cumulative total of in five cases settled for occupants injured in unsafe cars.,News
,Illinois,,2026,Other,Other,settlement,11050000,$11.1 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Other,Other,settlement,11000000,"$11,000,000 settlement in a Brooklyn case for a masonry foreman who was injured when he stepped on an unsecured temporary cover placed over a hole and fell three stories to the basement below.",News
,Illinois,,2026,Truck Accident,Other,settlement,11000000,$11.0 million settlement in a truck accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Massachusetts,,2026,Car Accident,Spinal Cord Injury,settlement,10900000,"Reported settlement for a thoracic spine fracture requiring fusion, suffered in a multi-vehicle highway collision near Boston. Reported case result published by Breakstone, White & Gluck.","Breakstone, White & Gluck"
,Illinois,,2026,Car Accident,Other,settlement,10800000,$10.8 million settlement in a car accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Truck Accident,Wrongful Death,settlement,10750000,"$26,000,000 settlement for the family of a 35-year-old woman who was a pedestrian struck and killed by a truck on 6th Ave. in Manhattan. This is believed to be the largest settlement in the history of New York for the wrongful death of one individual.",News
,New York,,2026,Truck Accident,Wrongful Death,settlement,10500000,"$10,500,000 settlement in a wrongful death case for a union laborer who suffered fatal injuries when a defective saw he was provided kicked back and struck his neck.",News
,New Jersey,,2026,Other,Wrongful Death,verdict,10500000,Other case in New Jersey. Wrongful Death resulting in a $10.5M award.,News
,Illinois,,2026,Bus Accident,Wrongful Death,verdict,10000000,"Civil Rights $10 Million Shortly before 2 a.m., two Columbus, Ohio police officers responded to a non-emergency call about a parked car. At the same time, our client, a 47-year-old Black Lives Matter activist, was walking home from a friend’s house with his cell phone illuminated. The offi.",News
,South Carolina,,2026,Car Accident,Wrongful Death,settlement,10000000,"Poor safety record, hidden evidence prove costly in deadly crash. Action: Motor vehicle negligence Injuries alleged: Three wrongful deaths, one injury (broken foot) Case name: Withheld Amount: $10 million Date: April 15, 2026 Attorneys: Mark Bringardner of Bringardner Injury",South Carolina Lawyers Weekly
Ferguson Enterprises v. Pee Dee Fleet,South Carolina,Horry,2026,Personal Injury,Wrongful Death,settlement,10000000,"$10M settlement; Plaintiff wins $11M judgment against fleet company after fatal brake-failure crash, settles for $10M. Action: Contribution Injuries alleged: Death Case name: Ferguson Enterprises v. Pee Dee Fleet Court/case no.: Horry County Court of Common Pleas/2020-CP-26-00352 Amount: $10 million Date: Feb. 28, 2026 Attorneys: Liam Duffy, Reynolds Blankenship, David Yarborough, and",South Carolina Lawyers Weekly
,New York,,2026,Other,Spinal Cord Injury,verdict,9792412,"$9,792,412 verdict in a Bronx case for a man who suffered a stroke during surgery and suffered left arm and partial left foot paralysis.",News
"Bossier Parish by and through the Bossier Parish Police Jury v. Boggs & Poole Contracting Group, Inc.",Louisiana,,2026,Premises Liability,Back Injury,verdict,9342355.87,"B&P agreed to pay $2,500 in liquidated damages for each calendar day that the project was inexcusably delayed in meeting substantial completion.",CourtListener
,New York,,2026,Car Accident,Back Injury,settlement,9263326,"$9,263,326 settlement for a taxi passenger who sustained lumbar spinal injuries and knee injuries after he was rear-ended by another vehicle.",News
,Illinois,,2026,Other,Other,settlement,9000000,"Defective Medical Devices $9 Million Transvaginal mesh devices were not tested in women before receiving FDA approval. Because of this, many women that were treated with this device have suffered severe and even life-threatening complications. Our attorneys successfully group set.",News
,Texas,,2026,Car Accident,Other,verdict,9000000,$9.0 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Other,Other,settlement,9000000,"$9,000,000 settlement for a high school student who required multiple surgeries to his arm and elbow after he was injured when a wall collapsed on him.",News
,New York,,2026,Pedestrian Accident,Traumatic Brain Injury,settlement,8800000,"$8,800,000 settlement for Queens woman who suffered a brain injury after a serious pedestrian accident.",News
,New York,,2026,Other,Other,settlement,8300000,$8.3 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Other,Other,settlement,8000000,$8.0 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Premises Liability,Wrongful Death,verdict,8000000,Read more Premises Liability $8 Million We represented the family of a 48-year-old who was shot and killed by a security guard outside of a gas station. Our unarmed client got into an argument with the security over loud music when the situation escalated and the guard killed him. Read more.,News
,New Jersey,,2026,Truck Accident,Traumatic Brain Injury,settlement,7982000,Settlement; Motor Vehicle Accident; Collision with Truck; Brain Injury.,News
,New York,,2026,Car Accident,Wrongful Death,settlement,7525000,"$7,525,000 settlement in a wrongful death case for survivors of a tragic car crash that killed a mother and her son in Suffolk County.",News
,New Jersey,,2026,Workplace Injury,Other,verdict,7346000,Verdict; Medical Negligence; Construction Accident.,News
,New York,,2026,Workplace Injury,Broken Bones,settlement,7300000,"$7,300,000 settlement for a worker who sustained an arm amputation after a serious on-the-job accident in Brooklyn.",News
,Illinois,,2026,Medical Malpractice,Burns,verdict,7250000,"Medical Malpractice $7.25 Million Our client, 13, was hospitalized due to behavior issues and administered Lamictal and Latuda daily with an increased dosage. He began showing signs of a severe reaction to the medication and yet the facility increased the dosage. Our client was subsequentl.",News
,New Jersey,,2026,Medical Malpractice,Other,settlement,7250000,Settlement; Medical Malpractice; Failure to Diagnose & Treat Pneumothorax.,News
,New York,,2026,Premises Liability,Wrongful Death,settlement,7000000,Premises Liability settlement of $7 million in New York.,News
,Illinois,,2026,Other,Wrongful Death,verdict,7000000,Verdict for the wrongful death of a young Chicago student.,News
,New Jersey,,2026,Other,Spinal Cord Injury,settlement,7000000,Settlement; Aviation Accident Resulting in Paralysis.,News
Cerebral Palsy Birth Injury (MI $7M),Michigan,,2026,Medical Malpractice,Traumatic Brain Injury,verdict,7000000,Hospital mismanagement of newborn after delivery caused cerebral palsy.,News
,New York,,2026,Other,Other,verdict,6793881,"$6,793,881 verdict for a client with internal injuries after a work accident at a Brooklyn water treatment plant.",News
,New York,,2026,Other,Other,settlement,6500000,"$6,500,000 settlement for a union mechanic who was injured when a catwalk collapsed, causing him to fall 18-20 feet at a Manhattan work site.",News
,New Jersey,,2026,Medical Malpractice,Traumatic Brain Injury,settlement,6500000,Settlement; Medical Malpractice; Birth Injury; Cerebral Palsy.,News
Runaway trailer head-on wrongful death settlement,North Carolina,NC (statewide list),2026,Truck Accident,Wrongful Death,settlement,6500000,Wrongful death settlement after a runaway trailer detached and killed a driver in a head-on crash on a North Carolina road.,NC Lawyers Weekly
,New York,,2026,Workplace Injury,Traumatic Brain Injury,settlement,6400000,"$6,400,000 settlement in a Bronx case for a union ironworker who fell approximately 30 feet and suffered multiple injuries, including fractures, post-concussion syndrome, and bulging discs.",News
,New York,,2026,Workplace Injury,Spinal Cord Injury,settlement,6250000,Settlement for a construction worker who suffered complete quadriplegia after a worksite fall.,News
,New York,,2026,Other,Other,settlement,6080000,$6.1 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Premises Liability,Wrongful Death,settlement,6000000,Premises Liability settlement of $6 million in New York.,News
,Illinois,,2026,Bus Accident,Other,settlement,6000000,"Read more Sex Abuse $6 Million Peter (name changed to protect privacy) was a young member of his local Boy Scouts troop when he was sexually abused by his scoutmaster. Over several years, the scoutmaster groomed him through gifts, dinners, and by stepping into a father-figure role at a time when Pet.",News
,New Jersey,,2026,Medical Malpractice,Other,settlement,6000000,Medical Malpractice case in New Jersey. Other resulting in a $6.0M award.,News
,South Carolina,Charleston,2026,Motorcycle Accident,Shoulder Injury,settlement,6000000,"Motorcyclist injured after being struck, forced into fire hydrant. $6M SETTLEMENT Action: Negligence Injuries alleged: Comminuted fractures of right leg and right shoulder, facial fractures Case name: Withheld Court: Charleston County Amount: $6 million Date: April 14, 2026 Attorneys:",South Carolina Lawyers Weekly
,Texas,,2026,Car Accident,Other,verdict,5920000,$5.9 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.,News
,New Jersey,,2026,Medical Malpractice,Back Injury,settlement,5900000,Settlement; Medical Malpractice; Improperly Discontinued Antibiotic Therapy.,News
,Illinois,,2026,Car Accident,Other,settlement,5600000,Settlement for pre-teen boy left quadriplegic after car crash.,News
,New York,,2026,Other,Wrongful Death,settlement,5500000,Other settlement of $5.5 million in New York.,News
,Illinois,,2026,Other,Other,settlement,5500000,Settlement for a medical negligence case.,News
Retired couple injured in I-485 crash,North Carolina,Mecklenburg,2026,Car Accident,Traumatic Brain Injury,settlement,5490000,"Recovery for a retired couple injured in a crash on I-485 in the Charlotte area; one spouse sustained a traumatic brain injury with hemorrhage and a vertebral fracture, the other multiple rib fractures with pneumothorax.",NC Lawyers Weekly
,Illinois,,2026,Other,Other,settlement,5250000,Settlement for patients affected by defective medical devices.,News
,New York,,2026,Workplace Injury,Back Injury,verdict,5030572,"$5,030,572 verdict for a laborer who was hurt when a scaffold tipped over; a groundbreaking case involving the use of 3D video of a back surgery as evidence for the jury.",News
,New York,,2026,Medical Malpractice,Other,verdict,5000000,Medical Malpractice jury verdict of $5 million in New York.,News
,Illinois,,2026,Medical Malpractice,Wrongful Death,verdict,5000000,"Medical Malpractice $5 Million Our client, 34, was hospitalized due to a miscarriage resulting in a lot of blood loss. She required several blood transfusions and was then discharged home that same evening. Once home, she continued not to feel well, fever and felt faint so she returned to.",News
,Texas,,2026,Car Accident,Wrongful Death,verdict,5000000,$5.0 million jury verdict in a car accident case in Texas . The plaintiff sustained wrongful death and was awarded damages.,News
,New Jersey,,2026,Medical Malpractice,Traumatic Brain Injury,verdict,5000000,Trial Verdict; Medical Malpractice; Negligent Postoperative Care; Brain Injury.,News
,New York,,2026,Workplace Injury,Other,settlement,4995000,"$4,995,000 settlement for a laborer who sustained elbow and ankle injuries in a construction site fall caused by unsteady flooring.",News
,New Jersey,,2026,Other,Burns,settlement,4800000,$4.8 million settlement in New Jersey . The plaintiff sustained burns and was awarded damages.,News
,Illinois,,2026,Medical Malpractice,Back Injury,settlement,4750000,"Read more Medical Malpractice $4.75 Million Denise (name changed to protect client) delivered her child with no complications, however it was later discovered that her doctor failed to diagnose her kidney damage before the birth. As a result of this medical malpractice, she suffered a heart attack.",News
,New York,,2026,Truck Accident,Other,settlement,4750000,"$4,750,000 settlement for a 51-year-old union worker who was struck by an NYC sanitation vehicle, leading to various injuries that required multiple surgeries.",News
,New Jersey,,2026,Medical Malpractice,Other,settlement,4750000,Confidential Settlement; Medical Malpractice; Labor & Delivery Negligence.,News
,New Jersey,,2026,Other,Other,settlement,4600000,Other case in New Jersey. Other resulting in a $4.6M award.,News
,Illinois,,2026,Medical Malpractice,Traumatic Brain Injury,settlement,4590000,"Medical Malpractice $4.5 Million Our client arrived at the hospital in active labor at 40 weeks, and her baby was delivered later that evening. Although meconium was present at birth, hospital staff failed to act or monitor the newborn appropriately. Soon after, the mother noticed her baby was unusu.",News
,Illinois,,2026,Medical Malpractice,Wrongful Death,verdict,4550000,$4.5 million jury verdict in a medical malpractice case in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,New York,,2026,Premises Liability,Wrongful Death,settlement,4500000,"$5,500,000 settlement on behalf of the family of a man killed in the Pan Am 103 plane crash, which occurred in Lockerbie, Scotland.",News
,New York,,2026,Other,Other,settlement,4375000,$4.4 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Medical Malpractice,Wrongful Death,settlement,4290000,"Read more Medical Malpractice $4.29 Million Emily (name changed to protect client) went to the hospital complaining of chest pains. She was admitted, but the hospital released her after a couple days without fully investigating the source of her pain. This client still had chest pains when she retur.",News
,New York,,2026,Premises Liability,Wrongful Death,settlement,4200000,"Recovery to the widow of a Citibank employee who was killed in a plane crash in Brazil. The case was brought in New York against the foreign airline and the plane manufacturer. $4,500,000 recovery for victims of a defective diet drug.",News
,New Jersey,,2026,Car Accident,Other,settlement,4197000,$4.2 million settlement in a car accident case in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,South Carolina,,2026,Car Accident,Wrongful Death,settlement,4105000,"Fatal ambulance crash yields recovery four times the available coverage. Action: Motor vehicle negligence Injuries alleged: Closed head injury, intracranial bleed leading to death Case name: Withheld Demand: Policy limit of $1 million Amount: $4,105,000 Date: July 20, 2026",South Carolina Lawyers Weekly
,New York,,2026,Premises Liability,Wrongful Death,settlement,4000000,"$7,000,000 settlement on behalf of five people who suffered leg injuries in an elevator accident caused by negligent maintenance of the elevator support cable.",News
,Illinois,,2026,Medical Malpractice,Wrongful Death,settlement,4000000,"Read more Medical Malpractice $4 Million Helen (name changed to protect client) went to the hospital to have a tracheotomy removed. After the procedure, she was observed for five minutes and released. Her son went to get his car to pick her up and when he got to her, she had collapsed. She was taken.",News
,New York,,2026,Truck Accident,Wrongful Death,settlement,3975000,"$5,000,000 settlement in a construction accident case for a construction worker who fell from the roof of a building during a construction project and miraculously sustained only leg fractures.",News
,New Jersey,,2026,Medical Malpractice,Other,settlement,3950000,Medical Malpractice case in New Jersey. Other resulting in a $4.0M award.,News
,New York,,2026,Truck Accident,Wrongful Death,settlement,3925000,"Verdict in a construction accident case in New York County on behalf of a laborer who suffered burns after falling into a pit of scalding water. $3,975,000 settlement in New York County for a man who fell from a truck and was impaled by a piece of Rebar.",News
,New York,,2026,Other,Other,settlement,3913000,$3.9 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,New Jersey,,2026,Car Accident,Wrongful Death,settlement,3750000,Settlement; Motor Vehicle Accident; Auto Product Liability; Wrongful Death.,News
,New Jersey,,2026,Medical Malpractice,Other,settlement,3700000,Settlement; Medical Malpractice; Failure to Timely Diagnose and Treat Spinal Hematoma; Confidential Settlement.,News
,Texas,,2026,Motorcycle Accident,Other,verdict,3650000,$3.6 million jury verdict in a motorcycle accident case in Texas . The plaintiff sustained personal injury and was awarded damages.,News
,New Jersey,,2026,Workplace Injury,Other,settlement,3650000,$3.6 million settlement in a workplace injury case in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,Texas,,2026,Car Accident,Other,verdict,3600000,$3.6 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.,News
,Kentucky,Daviess,2026,Personal Injury,Other,verdict,3553344,"Kentucky jury verdict of $3,553,344 in Daviess County (2026).",Kentucky Trial Court Review
Millay v. West,Kentucky,Daviess,2026,Medical Malpractice,Other,verdict,3553344,"Kentucky jury verdict of $3,553,344 in Daviess County (2026). Will Millay, then age 32, presented to the ER on 12-14-18 at Owensboro Regional Hospital (It is operated by Owensboro Health) where he was diagnosed with an appendicitis. Dr. Michael West, a surgeon and hospital employee, performed a laparoscopic appendectomy. In the process he removed the appendix and clamped, cut.",Kentucky Trial Court Review
,New York,,2026,Pedestrian Accident,Back Injury,settlement,3500000,"$3,500,000 settlement for a pedestrian who suffered hypothermia and herniated discs after falling 13 feet into an electrical vault.",News
,New Jersey,,2026,Medical Malpractice,Other,settlement,3500000,Settlement; Medical Malpractice; Brachial Plexus Injury During Birth; Erbs Palsy.,News
,New York,,2026,Other,Other,settlement,3479000,$3.5 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
McCoy v. Avon Place Skilled Nursing & Rehab. Ctr.,Ohio,,2026,Medical Malpractice,Wrongful Death,settlement,3461349.73,"Based upon the jury’s verdict and the application of the statutory damages cap, the total judgment entered by the trial court against Avon Place amounted to $3,461.",CourtListener
,Illinois,,2026,Medical Malpractice,Broken Bones,settlement,3350000,Medical Malpractice $3.3 Million Anna (name changed to protect client) had lasting health issues from childhood lymphoma. She was admitted to the hospital with leg pain which was wrongly attributed to neuralgia. Anna did not receive medical care until the next day when her legs were already turning.,News
,New York,,2026,Truck Accident,Broken Bones,verdict,3258000,"$3,258,000 verdict for a 38-year-old delivery driver who suffered fractures as a result of being struck by a forklift.",News
